Common Name English	AOU 	GenusSpecies	FourLetter
American Woodcock	2280	Scolopax minor	AMWO
Amethyst-throated Hummingbird	13030	Lampornis amethystinus	ATHU
Ancient Murrelet	210	Synthliboramphus antiquus	ANMU
Anhinga	1180	Anhinga anhinga	ANHI
Anna's Hummingbird	4310	Calypte anna	ANHU
Antillean Nighthawk	4201	Chordeiles gundlachii	ANNI
Aplomado Falcon	3590	Falco femoralis	APFA
Arctic Loon	90	Gavia arctica	ARLO
Arctic Tern	710	Sterna paradisaea	ARTE
Arctic Warbler	7470	Phylloscopus borealis	ARWA
Arizona Woodpecker	3975	Picoides arizonae	ARWO
Ash-throated Flycatcher	4540	Myiarchus cinerascens	ATFL
Ashy Storm-Petrel	1080	Oceanodroma homochroa	ASSP
Atlantic Puffin	130	Fratercula arctica	ATPU
Audubon's Oriole	5030	Icterus graduacauda	AUOR
Aztec Rail	2081	Rallus tenuirostris	AZRA
Aztec Thrush	7631	Ridgwayia pinicola	AZTH
Azure-crowned Hummingbird	12850	Amazilia cyanocephala	AZCH
Azure-hooded Jay	16300	Cyanolyca cucullata	AHJA
Bachman's Sparrow	5750	Peucaea aestivalis	BACS
Bahama Mockingbird	7031	Mimus gundlachii	BAMO
Baird's Sandpiper	2410	Calidris bairdii	BASA
Baird's Sparrow	5450	Ammodramus bairdii	BAIS
Bald Eagle	3520	Haliaeetus leucocephalus	BAEA
Baltimore Oriole	5070	Icterus galbula	BAOR
Band-backed Wren	16420	Campylorhynchus zonatus	BABW
Band-tailed Pigeon	3120	Patagioenas fasciata	BTPI
Banded Quail	10770	Philortyx fasciatus	BAQU
Bank Swallow	6160	Riparia riparia	BANS
Bar-tailed Godwit	2500	Limosa lapponica	BTGO
Bare-throated Tiger-Heron	10130	Tigrisoma mexicanum	BTTH
Barn Owl	3650	Tyto alba	BANO
Barn Swallow	6130	Hirundo rustica	BARS
Barred Antshrike	14510	Thamnophilus doliatus	BAAN
Barred Forest-Falcon	10500	Micrastur ruficollis	BAFF
Barred Owl	3680	Strix varia	BADO
Barred Parakeet	11390	Bolborhynchus lineola	BAPA
Barrow's Goldeneye	1520	Bucephala islandica	BAGO
Bat Falcon	10530	Falco rufigularis	BAFA
Bay-breasted Warbler	6600	Setophaga castanea	BBWA
Bearded Wood-Partridge	10650	Dendrortyx barbatus	BEWP
Belding's Yellowthroat	6820	Geothlypis beldingi	BEYE
Bell's Sparrow	5739	Artemisiospiza belli	BESP
Bell's Vireo	6330	Vireo bellii	BEVI
Belted Kingfisher	3900	Megaceryle alcyon	BEKI
Bendire's Thrasher	7080	Toxostoma bendirei	BETH
Berylline Hummingbird	4381	Amazilia beryllina	BEHU
Bewick's Wren	7190	Thryomanes bewickii	BEWR
Bicknell's Thrush	7571	Catharus bicknelli	BITH
Bicolored Hawk	10300	Accipiter bicolor	BIHA
Black Guillemot	270	Cepphus grylle	BLGU
Black Hawk-Eagle	10450	Spizaetus tyrannus	BLHE
Black Noddy	791	Anous minutus	BLNO
Black Oystercatcher	2870	Haematopus bachmani	BLOY
Black Phoebe	4580	Sayornis nigricans	BLPH
Black Rail	2160	Laterallus jamaicensis	BLRA
Black Rosy-Finch	5250	Leucosticte atrata	BLRF
Black Scoter	1630	Melanitta americana	BLSC
Black Skimmer	800	Rynchops niger	BLSK
Black Storm-Petrel	1070	Oceanodroma melania	BLSP
Black Swift	4220	Cypseloides niger	BLSW
Black Tern	770	Chlidonias niger	BLTE
Black Thrush	16960	Turdus infuscatus	BLTH
Black Turnstone	2840	Arenaria melanocephala	BLTU
Black Vulture	3260	Coragyps atratus	BLVU
Black-and-white Hawk-Eagle	10440	Spizaetus melanoleucus	BAWH
Black-and-white Owl	11970	Ciccaba nigrolineata	BLWO
Black-and-white Warbler	6360	Mniotilta varia	BAWW
Black-backed Oriole	19341	Icterus abeillei	BBOR
Black-backed Woodpecker	4000	Picoides arcticus	BBWO
Black-bellied Plover	2700	Pluvialis squatarola	BBPL
Black-bellied Whistling-Duck	1770	Dendrocygna autumnalis	BBWD
Black-billed Cuckoo	3880	Coccyzus erythropthalmus	BBCU
Black-billed Magpie	4750	Pica hudsonia	BBMA
Black-capped Chickadee	7350	Poecile atricapillus	BCCH
Black-capped Gnatcatcher	7531	Polioptila nigriceps	BCGN
Black-capped Vireo	6300	Vireo atricapilla	BCVI
Black-chested Sparrow	19040	Peucaea humeralis	BCHS
Black-chinned Hummingbird	4290	Archilochus alexandri	BCHU
Black-chinned Sparrow	5650	Spizella atrogularis	BCSP
Black-collared Hawk	10400	Busarellus nigricollis	BCHA
Black-crested Titmouse	7320	Baeolophus atricristatus	BCTI
Black-crowned Night-Heron	2020	Nycticorax nycticorax	BCNH
Black-crowned Tityra	15900	Tityra inquisitor	BCRT
Black-headed Grosbeak	5960	Pheucticus melanocephalus	BHGR
Black-headed Gull	551	Chroicocephalus ridibundus	BHGU
Black-headed Nightingale-Thrush	16930	Catharus mexicanus	BHNT
Black-headed Saltator	18550	Saltator atriceps	BHSA
Black-headed Siskin	19440	Spinus notatus	BHSI
Black-legged Kittiwake	400	Rissa tridactyla	BLKI
Black-necked Stilt	2260	Himantopus mexicanus	BNST
Black-tailed Gnatcatcher	7520	Polioptila melanura	BTGN
Black-throated Blue Warbler	6540	Setophaga caerulescens	BTBW
Black-throated Gray Warbler	6650	Setophaga nigrescens	BTYW
Black-throated Green Warbler	6670	Setophaga virens	BTNW
Black-throated Magpie-Jay	16230	Calocitta colliei	BTMJ
Black-throated Sparrow	5730	Amphispiza bilineata	BTSP
Black-vented Oriole	5041	Icterus wagleri	BVOR
Black-vented Shearwater	930	Puffinus opisthomelas	BVSH
Black-whiskered Vireo	6230	Vireo altiloquus	BWVI
Blackburnian Warbler	6620	Setophaga fusca	BLBW
Blackpoll Warbler	6610	Setophaga striata	BLPW
Blue Bunting	5971	Cyanocompsa parellina	BLBU
Blue Grosbeak	5970	Passerina caerulea	BLGR
Blue Ground-Dove	11060	Claravis pretiosa	BLGD
Blue Jay	4770	Cyanocitta cristata	BLJA
Blue Mockingbird	17150	Melanotis caerulescens	BLMO
Blue-black Grassquit	18810	Volatinia jacarina	BGRA
Blue-black Grosbeak	18600	Cyanocompsa cyanoides	BGRO
Blue-crowned Motmot	13470	Momotus momota	BCMO
Blue-footed Booby	1141	Sula nebouxii	BFBO
Blue-gray Gnatcatcher	7510	Polioptila caerulea	BGGN
Blue-gray Tanager	18120	Thraupis episcopus	BGTA
Blue-headed Vireo	6290	Vireo solitarius	BHVI
Blue-throated Hummingbird	4270	Lampornis clemenciae	BTHH
Blue-winged Teal	1400	Anas discors	BWTE
Blue-winged Warbler	6410	Vermivora cyanoptera	BWWA
Bluethroat	7640	Luscinia svecica	BLUE
Boat-billed Flycatcher	15720	Megarynchus pitangua	BOBF
Boat-billed Heron	10170	Cochlearius cochlearius	BBHE
Boat-tailed Grackle	5130	Quiscalus major	BTGR
Bobolink	4940	Dolichonyx oryzivorus	BOBO
Bohemian Waxwing	6180	Bombycilla garrulus	BOWA
Bonaparte's Gull	600	Chroicocephalus philadelphia	BOGU
Boreal Chickadee	7400	Poecile hudsonicus	BOCH
Boreal Owl	3710	Aegolius funereus	BOOW
Botteri's Sparrow	5760	Peucaea botterii	BOSP
Brandt's Cormorant	1220	Phalacrocorax penicillatus	BRAC
Brant	1730	Branta bernicla	BRAN
Brewer's Blackbird	5100	Euphagus cyanocephalus	BRBL
Brewer's Sparrow	5620	Spizella breweri	BRSP
Brewster's Warbler (Golden-winged x Blue-winged)	6412	#N/A	#N/A
Bridled Tern	760	Onychoprion anaethetus	BRTE
Bridled Titmouse	7340	Baeolophus wollweberi	BRTI
Bright-rumped Attila	15580	Attila spadiceus	BRAT
Bristle-thighed Curlew	2680	Numenius tahitiensis	BTCU
Broad-billed Hummingbird	4410	Cynanthus latirostris	BBIH
Broad-tailed Hummingbird	4320	Selasphorus platycercus	BTAH
Broad-winged Hawk	3430	Buteo platypterus	BWHA
Bronzed Cowbird	4960	Molothrus aeneus	BROC
Brown Booby	1150	Sula leucogaster	BRBO
Brown Creeper	7260	Certhia americana	BRCR
Brown Jay	4832	Psilorhinus morio	BRJA
Brown Noddy	790	Anous stolidus	BRNO
Brown Pelican	1260	Pelecanus occidentalis	BRPE
Brown Thrasher	7050	Toxostoma rufum	BRTH
Brown-backed Solitaire	16820	Myadestes occidentalis	BBSO
Brown-capped Rosy-Finch	5260	Leucosticte australis	BCRF
Brown-capped Vireo	17390	Vireo leucophrys	BCAV
Brown-crested Flycatcher	4530	Myiarchus tyrannulus	BCFL
Brown-headed Cowbird	4950	Molothrus ater	BHCO
Brown-headed Nuthatch	7290	Sitta pusilla	BHNU
Brown-hooded Parrot	11470	Pyrilia haematotis	BHOP
Budgerigar	3822	Melopsittacus undulatus	BUDG
Buff-bellied Hummingbird	4390	Amazilia yucatanensis	BBEH
Buff-breasted Flycatcher	4700	Empidonax fulvifrons	BBFL
Buff-breasted Sandpiper	2620	Calidris subruficollis	BBSA
Buff-collared Nightjar	4161	Antrostomus ridgwayi	BCNI
Bufflehead	1530	Bucephala albeola	BUFF
Buller's Shearwater	962	Puffinus bulleri	BULS
Bullock's Oriole	5080	Icterus bullockii	BUOR
Bumblebee Hummingbird	4350	Atthis heloisa	BUHU
Burrowing Owl	3780	Athene cunicularia	BUOW
Bushtit	7430	Psaltriparus minimus	BUSH
Cackling Goose	1725	Branta hutchinsii	CACG
Cactus Wren	7130	Campylorhynchus brunneicapillu	CACW
California Condor	3240	Gymnogyps californianus	CACO
California Gnatcatcher	7530	Polioptila californica	CAGN
California Gull	530	Larus californicus	CAGU
California Quail	2940	Callipepla californica	CAQU
California Thrasher	7100	Toxostoma redivivum	CATH
California Towhee	5911	Melozone crissalis	CALT
Calliope Hummingbird	4360	Selasphorus calliope	CAHU
Canada Goose	1720	Branta canadensis	CANG
Canada Warbler	6860	Cardellina canadensis	CAWA
Canivet's Emerald	12640	Chlorostilbon canivetii	CAEM
Canvasback	1470	Aythya valisineria	CANV
Canyon Towhee	5910	Melozone fusca	CANT
Canyon Wren	7170	Catherpes mexicanus	CANW
Cape May Warbler	6500	Setophaga tigrina	CMWA
Carolina Chickadee	7360	Poecile carolinensis	CACH
Carolina Wren	7180	Thryothorus ludovicianus	CARW
Caspian Tern	640	Hydroprogne caspia	CATE
Cassin's Auklet	160	Ptychoramphus aleuticus	CAAU
Cassin's Finch	5180	Haemorhous cassinii	CAFI
Cassin's Kingbird	4480	Tyrannus vociferans	CAKI
Cassin's Sparrow	5780	Peucaea cassinii	CASP
Cassin's Vireo	6291	Vireo cassinii	CAVI
Cattle Egret	2001	Bubulcus ibis	CAEG
Cave Swallow	6121	Petrochelidon fulva	CASW
Cedar Waxwing	6190	Bombycilla cedrorum	CEDW
Cerulean Warbler	6580	Setophaga cerulea	CERW
Chestnut-backed Chickadee	7410	Poecile rufescens	CBCH
Chestnut-capped Brush-Finch	18700	Arremon brunneinucha	CCBF
Chestnut-collared Longspur	5380	Calcarius ornatus	CCLO
Chestnut-collared Swift	12220	Streptoprocne rutila	CCSW
Chestnut-sided Shrike-Vireo	17450	Vireolanius melitophrys	CSSV
Chestnut-sided Warbler	6590	Setophaga pensylvanica	CSWA
Chihuahuan Raven	4870	Corvus cryptoleucus	CHRA
Chimney Swift	4230	Chaetura pelagica	CHSW
Chipping Sparrow	5600	Spizella passerina	CHSP
Chuck-will's-widow	4160	Antrostomus carolinensis	CWWI
Chukar	2882	Alectoris chukar	CHUK
Cinnamon Hummingbird	12900	Amazilia rutila	CIHU
Cinnamon Teal	1410	Anas cyanoptera	CITE
Citreoline Trogon	13270	Trogon citreolus	CITR
Clapper Rail	2110	Rallus crepitans	CLRA
Clark's Grebe	11	Aechmophorus clarkii	CLGR
Clark's Nutcracker	4910	Nucifraga columbiana	CLNU
Clay-colored Sparrow	5610	Spizella pallida	CCSP
Clay-colored Thrush	7621	Turdus grayi	CCTH
Cliff Swallow	6120	Petrochelidon pyrrhonota	CLSW
Cockatiel	81650	#N/A	#N/A
Colima Pygmy-Owl	11960	Glaucidium palmarum	CPYO
Colima Warbler	6471	Oreothlypis crissalis	COLW
Collared Forest-Falcon	10520	Micrastur semitorquatus	COFF
Collared Plover	10920	Charadrius collaris	COPL
Collared Towhee	18790	Pipilo ocai	COTO
Collared Trogon	13320	Trogon collaris	COTR
Common Black Hawk	3450	Buteogallus anthracinus	COBH
Common Chlorospingus	18420	Chlorospingus flavopectus	COCL
Common Eider	1590	Somateria mollissima	COEI
Common Gallinule	2190	Gallinula galeata	COGA
Common Goldeneye	1510	Bucephala clangula	COGO
Common Grackle	5110	Quiscalus quiscula	COGR
Common Greenshank	2530	Tringa nebularia	COMG
Common Ground-Dove	3200	Columbina passerina	COGD
Common House-Martin	6152	Delichon urbicum	COHM
Common Loon	70	Gavia immer	COLO
Common Merganser	1290	Mergus merganser	COME
Common Murre	300	Uria aalge	COMU
Common Myna	4932	Acridotheres tristis	COMY
Common Nighthawk	4200	Chordeiles minor	CONI
Common Pauraque	4190	Nyctidromus albicollis	COPA
Common Poorwill	4180	Phalaenoptilus nuttallii	COPO
Common Raven	4860	Corvus corax	CORA
Common Redpoll	5280	Acanthis flammea	CORE
Common Ringed Plover	2750	Charadrius hiaticula	CRPL
Common Sandpiper	2631	Actitis hypoleucos	COSA
Common Tern	700	Sterna hirundo	COTE
Common Yellowthroat	6810	Geothlypis trichas	COYE
Connecticut Warbler	6780	Oporornis agilis	CONW
Cooper's Hawk	3330	Accipiter cooperii	COHA
Cordilleran Flycatcher	4640	Empidonax occidentalis	COFL
Cory's Shearwater	880	Calonectris diomedea	COSH
Costa's Hummingbird	4300	Calypte costae	COHU
Couch's Kingbird	4461	Tyrannus couchii	COKI
Crane Hawk	10320	Geranospiza caerulescens	CRHA
Craveri's Murrelet	260	Synthliboramphus craveri	CRMU
Crescent-chested Warbler	6492	Oreothlypis superciliosa	CCWA
Crested Auklet	180	Aethia cristatella	CRAU
Crested Caracara	3620	Caracara cheriway	CRCA
Crested Guan	10600	Penelope purpurascens	CRGU
Crested Myna	4931	#N/A	#N/A
Crimson-collared Grosbeak	5941	Rhodothraupis celaeno	CCGR
Crissal Thrasher	7120	Toxostoma crissale	CRTH
Curve-billed Thrasher	7070	Toxostoma curvirostre	CBTH
Dickcissel	6040	Spiza americana	DICK
Double-crested Cormorant	1200	Phalacrocorax auritus	DCCO
Double-striped Thick-knee	2692	Burhinus bistriatus	DSTK
Downy Woodpecker	3940	Picoides pubescens	DOWO
Dunlin	2430	Calidris alpina	DUNL
Dusky Flycatcher	4690	Empidonax oberholseri	DUFL
Dusky Grouse	2970	Dendragapus obscurus	DUGR
Dusky Warbler	7474	Phylloscopus fuscatus	DUWA
Dusky-capped Flycatcher	4550	Myiarchus tuberculifer	DCFL
Dwarf Vireo	17350	Vireo nelsoni	DWVI
Eared Grebe	40	Podiceps nigricollis	EAGR
Eared Poorwill	12060	Nyctiphrynus mcleodii	EAPO
Eared Quetzal	3891	Euptilotis neoxenus	EAQU
Eastern Bluebird	7660	Sialia sialis	EABL
Eastern Kingbird	4440	Tyrannus tyrannus	EAKI
Eastern Meadowlark	5010	Sturnella magna	EAME
Eastern Phoebe	4560	Sayornis phoebe	EAPH
Eastern Screech-Owl	3730	Megascops asio	EASO
Eastern Towhee	5870	Pipilo erythrophthalmus	EATO
Eastern Whip-poor-will	4171	Antrostomus vociferus	EWPW
Eastern Wood-Pewee	4610	Contopus virens	EAWP
Eastern Yellow Wagtail	6960	Motacilla tschutschensis	EYWA
Egyptian Goose	20630	#N/A	#N/A
Elegant Euphonia	6060	Euphonia elegantissima	ELEU
Elegant Quail	10780	Callipepla douglasii	ELQU
Elegant Tern	660	Thalasseus elegans	ELTE
Elegant Trogon	3890	Trogon elegans	ELTR
Elf Owl	3810	Micrathene whitneyi	ELOW
Emperor Goose	1760	Chen canagica	EMGO
Eurasian Collared-Dove	22860	Streptopelia decaocto	EUCD
Eurasian Tree Sparrow	6883	Passer montanus	ETSP
Eurasian Wigeon	1360	Anas penelope	EUWI
European Starling	4930	Sturnus vulgaris	EUST
Evening Grosbeak	5140	Coccothraustes vespertinus	EVGR
Fan-tailed Warbler	6881	Basileuterus lachrymosus	FTWA
Ferruginous Hawk	3480	Buteo regalis	FEHA
Ferruginous Pygmy-Owl	3800	Glaucidium brasilianum	FEPO
Field Sparrow	5630	Spizella pusilla	FISP
Fish Crow	4900	Corvus ossifragus	FICR
Five-striped Sparrow	5742	Amphispiza quinquestriata	FSSP
Flame-colored Tanager	6071	Piranga bidentata	FCTA
Flammulated Flycatcher	15700	Deltarhynchus flammulatus	FLFL
Flammulated Owl	3740	Psiloscops flammeolus	FLOW
Florida Scrub-Jay	4790	Aphelocoma coerulescens	FLSJ
Fork-tailed Flycatcher	4420	Tyrannus savana	FTFL
Forster's Tern	690	Sterna forsteri	FOTE
Fox Sparrow	5850	Passerella iliaca	FOSP
Franklin's Gull	590	Leucophaeus pipixcan	FRGU
Fulvous Whistling-Duck	1780	Dendrocygna bicolor	FUWD
Gadwall	1350	Anas strepera	GADW
Gambel's Quail	2950	Callipepla gambelii	GAQU
Gartered Trogon	13300	Trogon caligatus	GATR
Gila Woodpecker	4110	Melanerpes uropygialis	GIWO
Gilded Flicker	4140	Colaptes chrysoides	GIFL
Glaucous Gull	420	Larus hyperboreus	GLGU
Glaucous-winged Gull	440	Larus glaucescens	GWGU
Glossy Ibis	1860	Plegadis falcinellus	GLIB
Golden Eagle	3490	Aquila chrysaetos	GOEA
Golden Vireo	17380	Vireo hypochryseus	GOVI
Golden-browed Warbler	6930	Basileuterus belli	GBWA
Golden-cheeked Warbler	6660	Setophaga chrysoparia	GCWA
Golden-cheeked Woodpecker	13840	Melanerpes chrysogenys	GCHW
Golden-crowned Emerald	12641	Chlorostilbon auriceps	GCEM
Golden-crowned Kinglet	7480	Regulus satrapa	GCKI
Golden-crowned Sparrow	5570	Zonotrichia atricapilla	GCSP
Golden-crowned Warbler	6920	Basileuterus culicivorus	GCRW
Golden-fronted Woodpecker	4100	Melanerpes aurifrons	GFWO
Golden-olive Woodpecker	13950	Colaptes rubiginosus	GOWO
Golden-winged Warbler	6420	Vermivora chrysoptera	GWWA
Grace's Warbler	6640	Setophaga graciae	GRWA
Grasshopper Sparrow	5460	Ammodramus savannarum	GRSP
Gray Catbird	7040	Dumetella carolinensis	GRCA
Gray Flycatcher	4691	Empidonax wrightii	GRFL
Gray Hawk	3460	Buteo plagiatus	GRHA
Gray Jay	4840	Perisoreus canadensis	GRAJ
Gray Kingbird	4450	Tyrannus dominicensis	GRAK
Gray Partridge	2881	Perdix perdix	GRAP
Gray Silky-flycatcher	17220	Ptiliogonys cinereus	GRSF
Gray Thrasher	7090	Toxostoma cinereum	GRAT
Gray Vireo	6340	Vireo vicinior	GRVI
Gray-breasted Martin	6112	Progne chalybea	GYBM
Gray-breasted Wood-Wren	16730	Henicorhina leucophrys	GBWW
Gray-cheeked Thrush	7570	Catharus minimus	GCTH
Gray-collared Becard	15860	Pachyramphus major	GCBE
Gray-crowned Rosy-Finch	5240	Leucosticte tephrocotis	GCRF
Gray-crowned Woodpecker	13960	Colaptes auricularis	GRCW
Gray-crowned Yellowthroat	6821	Geothlypis poliocephala	GCYE
Gray-headed Chickadee	7390	Poecile cinctus	GHCH
Gray-headed Dove	11081	Leptotila plumbeiceps	GHDO
Gray-necked Wood-Rail	10830	Aramides cajaneus	GNWR
Grayish Saltator	18530	Saltator coerulescens	GRAS
Great Black Hawk	10380	Buteogallus urubitinga	GBLH
Great Black-backed Gull	470	Larus marinus	GBBG
Great Blue Heron	1940	Ardea herodias	GBHE
Great Cormorant	1190	Phalacrocorax carbo	GRCO
Great Crested Flycatcher	4520	Myiarchus crinitus	GCFL
Great Curassow	10620	Crax rubra	GRCU
Great Egret	1960	Ardea alba	GREG
Great Gray Owl	3700	Strix nebulosa	GGOW
Great Horned Owl	3750	Bubo virginianus	GHOW
Great Kiskadee	4490	Pitangus sulphuratus	GKIS
Great Shearwater	890	Puffinus gravis	GRSH
Great Skua	350	Stercorarius skua	GRSK
Great Swallow-tailed Swift	12320	Panyptila sanctihieronymi	GSTS
Great White Heron	1920	Ardea h. occidentalis	GWHE
Great-tailed Grackle	5120	Quiscalus mexicanus	GTGR
Greater Pewee	4600	Contopus pertinax	GRPE
Greater Prairie-Chicken	3050	Tympanuchus cupido	GRPC
Greater Roadrunner	3850	Geococcyx californianus	GRRO
Greater Sage-Grouse	3090	Centrocercus urophasianus	GRSG
Greater Scaup	1480	Aythya marila	GRSC
Greater White-fronted Goose	1710	Anser albifrons	GWFG
Greater Yellowlegs	2540	Tringa melanoleuca	GRYE
Green Heron	2010	Butorides virescens	GRHE
Green Jay	4830	Cyanocorax yncas	GREJ
Green Kingfisher	3910	Chloroceryle americana	GKIN
Green Parakeet	11230	Psittacara holochlora	GREP
Green-breasted Mango	12500	Anthracothorax prevostii	GNBM
Green-striped Brush-Finch	18710	Arremon virenticeps	GSBF
Green-tailed Towhee	5900	Pipilo chlorurus	GTTO
Green-winged Teal	1390	Anas crecca	GWTE
Greenish Elaenia	15030	Myiopagis viridicata	GREL
Groove-billed Ani	3840	Crotophaga sulcirostris	GBAN
Guadalupe Murrelet	250	Synthliboramphus hypoleucus	GAMU
Gull-billed Tern	630	Gelochelidon nilotica	GBTE
Gunnison Sage-Grouse	3089	Centrocercus minimus	GUSG
Gyrfalcon	3540	Falco rusticolus	GYRF
Hairy Woodpecker	3930	Picoides villosus	HAWO
Hammond's Flycatcher	4680	Empidonax hammondii	HAFL
Happy Wren	16620	Pheugopedius felix	HAWR
Harlequin Duck	1550	Histrionicus histrionicus	HADU
Harris's Hawk	3350	Parabuteo unicinctus	HASH
Harris's Sparrow	5530	Zonotrichia querula	HASP
Heermann's Gull	570	Larus heermanni	HEEG
Helmeted Guineafowl	2961	Numida meleagris	HELG
Henslow's Sparrow	5470	Ammodramus henslowii	HESP
Hepatic Tanager	6090	Piranga flava	HETA
Hermit Thrush	7590	Catharus guttatus	HETH
Hermit Warbler	6690	Setophaga occidentalis	HEWA
Herring Gull	510	Larus argentatus	HERG
Himalayan Snowcock	21430	Tetraogallus himalayensis	HISN
Hoary Redpoll	5270	Acanthis hornemanni	HORE
Hooded Grosbeak	19480	Coccothraustes abeillei	HOOG
Hooded Merganser	1310	Lophodytes cucullatus	HOME
Hooded Oriole	5050	Icterus cucullatus	HOOR
Hooded Warbler	6840	Setophaga citrina	HOWA
Hooded Yellowthroat	17620	Geothlypis nelsoni	HOYE
Hook-billed Kite	3271	Chondrohierax uncinatus	HBKI
Horned Grebe	30	Podiceps auritus	HOGR
Horned Lark	4740	Eremophila alpestris	HOLA
Horned Puffin	140	Fratercula corniculata	HOPU
House Finch	5190	Haemorhous mexicanus	HOFI
House Sparrow	6882	Passer domesticus	HOSP
House Wren	7210	Troglodytes aedon	HOWR
Hudsonian Godwit	2510	Limosa haemastica	HUGO
Hutton's Vireo	6320	Vireo huttoni	HUVI
hybrid Bullock's Oriole x Baltimore Oriole	5078	#N/A	#N/A
hybrid Lazuli Bunting x Indigo Bunting	5986	#N/A	#N/A
hybrid Mallard x Black Duck or Mottled Duck	1326	#N/A	#N/A
hybrid Northern Flicker (Red x Yellow-shafted)	4125	#N/A	#N/A
hybrid Red-naped x Red-breasted Sapsucker	4031	#N/A	#N/A
hybrid Western Gull x Glaucous-winged Gull	495	#N/A	#N/A
Iceland Gull	430	Larus glaucoides	ICGU
Inca Dove	3210	Columbina inca	INDO
Indian Peafowl	3095	Pavo cristatus	INPE
Indigo Bunting	5980	Passerina cyanea	INBU
Island Scrub-Jay	4811	Aphelocoma insularis	ISSJ
Ivory Gull	390	Pagophila eburnea	IVGU
Ivory-billed Woodcreeper	14410	Xiphorhynchus flavigaster	IBIW
Jabiru	1890	Jabiru mycteria	JABI
Juniper Titmouse	7331	Baeolophus ridgwayi	JUTI
Keel-billed Toucan	13740	Ramphastos sulfuratus	KBTO
Kelp Gull	51540	Larus dominicanus	KEGU
Kentucky Warbler	6770	Geothlypis formosa	KEWA
Key West Quail-Dove	3220	Geotrygon chrysia	KWQD
Killdeer	2730	Charadrius vociferus	KILL
King Eider	1620	Somateria spectabilis	KIEI
King Rail	2080	Rallus elegans	KIRA
King Vulture	3261	Sarcoramphus papa	KIVU
Kirtland's Warbler	6700	Setophaga kirtlandii	KIWA
Kittlitz's Murrelet	240	Brachyramphus brevirostris	KIMU
Ladder-backed Woodpecker	3960	Picoides scalaris	LBWO
Lapland Longspur	5360	Calcarius lapponicus	LALO
Lark Bunting	6050	Calamospiza melanocorys	LARB
Lark Sparrow	5520	Chondestes grammacus	LASP
Laughing Falcon	10490	Herpetotheres cachinnans	LAFA
Laughing Gull	580	Leucophaeus atricilla	LAGU
Lawrence's Goldfinch	5310	Spinus lawrencei	LAGO
Lawrence's Warbler (Golden-winged x Blue-winged)	6413	#N/A	#N/A
Lazuli Bunting	5990	Passerina amoena	LAZB
Le Conte's Sparrow	5480	Ammodramus leconteii	LCSP
Le Conte's Thrasher	7110	Toxostoma lecontei	LCTH
